; code      glat      glon       mlat    mlon
288
$CARISMA
ANNA       42.417    276.098    52.88    349.51
CONT       65.754    248.750    72.82    304.82
DAWS       64.048    220.890    65.90    273.89
ESKI       61.106    265.950    70.52    333.15
FCHU       58.763    265.920    68.32    333.54
FSIM       61.756    238.770    67.23    294.29
FSMI       60.017    248.050    67.28    306.90
GILL       56.376    265.360    66.03    333.05
GULL       50.061    251.739    58.20    314.92
ISLL       53.856    265.340    63.62    333.36
MCMU       56.657    248.790    64.17    309.20
MSTK       53.351    247.026    60.61    307.99
OSAK       45.871    264.917    55.81    333.20
PINA       50.199    263.960    59.98    331.75
RABB       58.222    256.320    66.85    319.11
RANK       62.824    267.890    72.22    335.97
TALO       69.540    266.450    78.28    330.93
THRF       48.027    263.635    57.82    331.49
$IMAGE
NAL        78.92      11.95     75.25    112.08
LYR        78.20      15.82     75.12    113.00
HOR        77.00      15.60     74.13    109.59
HOP        76.51      25.01     73.06    115.10
BJN        74.50      19.20     71.45    108.07
SOR        70.54      22.22     67.34    106.17
ALT        69.86      22.96     66.41    106.70
KEV        69.76      27.01     66.32    109.24
TRO        69.66      18.94     66.64    102.90
MAS        69.46      23.70     66.45    106.42
AND        69.30      16.03     65.88    100.37
KAU        69.02      23.05     65.55    106.08
KIL        69.02      20.79     65.67    104.34
IVA        68.56      27.29     65.10    108.57
ABK        68.35      18.82     65.30    101.75
LEK        68.13      13.54     65.40     97.50
MUO        68.02      23.53     64.72    105.22
LOZ        67.97      35.08     64.23    114.49
KIR        67.84      20.42     64.69    102.64
SOD        67.37      26.63     63.92    107.26
PEL        66.90      24.08     63.55    104.92
RVK        64.94      10.98     62.23     93.31
LYC        64.61      18.75     61.44     99.29
OUJ        64.52      27.23     60.78    106.48
MEK        62.77      30.97     59.10    108.45
HAN        62.25      26.60     58.47    104.85
DOB        62.07       9.11     59.29     90.20
NUR        60.50      24.65     56.74    102.47
UPS        59.90      17.35     56.42     96.19
KAR        59.21       5.24     56.43     85.67
TAR        58.26      26.46     54.47    102.89
$GREENLAND
THL        77.47     290.77     84.97     29.68
SVS        76.02     294.90     83.24     33.04
KUV        74.57     302.82     80.87     42.03
UPN        72.78     303.85     79.12     40.01
UMQ        70.68     307.87     76.53     42.26
GDH        69.25     306.47     75.40     38.93
ATU        67.93     306.43     74.13     37.71
STF        67.02     309.28     72.74     40.51
SKT        65.42     307.10     71.55     36.87
GHB        64.17     308.27     70.11     37.50
FHB        62.00     310.32     67.56     38.72
NAQ        61.16     314.56     65.85     42.97
NRD        81.60     343.33     81.11    103.10
DMH        76.77     341.37     77.27     85.00
DNB        74.30     339.78     75.13     78.64
SCO        70.48     338.03     71.50     71.73
AMK        65.60     322.37     68.99     53.39
$SAMNET
BOR        58.03      38.33     53.87    113.40
CRK        57.09     357.36     54.83     78.95
ESK        55.32     356.80     52.89     77.76
FAR        62.05     352.98     60.74     78.09
HAD        50.99     355.52     47.91     75.14
HAN        62.25      26.60     58.47    104.85
HLL        63.77     339.44     64.49     68.46
KIL        69.02      20.79     65.67    104.34
LER        60.13     358.82     58.03     81.57
NUR        60.50      24.65     56.74    102.47
OUJ        64.52      27.23     60.78    106.48
UPS        59.90      17.35     56.42     96.19
