HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
00 00    0.126    0.177    0.264  999.000  999.000    0.229    0.160    0.053    0.062    0.377    0.127    0.489   4
00 01    0.097    0.184    0.350  999.000  999.000    0.108    0.117    0.078    0.083    0.284    0.117    0.462   4
00 02    0.096    0.252    0.388  999.000  999.000    0.108    0.148    0.064    0.066    0.296    0.109    0.543   4
00 03    0.117    0.188    0.365  999.000  999.000    0.235    0.106    0.086    0.039    0.140    0.057    0.623   4
00 04    0.140    0.080    0.433  999.000  999.000    0.313    0.119    0.079    0.049    0.174    0.093    0.469   4
00 05    0.156    0.085    0.429  999.000  999.000    0.362    0.122    0.082    0.058    0.320    0.122    0.560   4
00 06    0.101    0.199    0.468  999.000  999.000    0.243    0.057    0.062    0.041    0.192    0.074    0.842   4
00 07    0.067    0.166    0.465  999.000  999.000    0.166    0.032    0.043    0.026    0.229    0.093    0.735   4
00 08    0.067    0.169    0.547  999.000  999.000    0.156    0.056    0.034    0.021    0.171    0.082    0.427   4
00 09    0.087    0.132    0.460  999.000  999.000    0.158    0.078    0.081    0.031    0.100    0.080    0.520   4
00 10    0.206    0.130    0.447  999.000  999.000    0.380    0.234    0.157    0.052    0.168    0.123    0.649   4
00 11    0.174    0.145    0.427  999.000  999.000    0.338    0.195    0.113    0.049    0.198    0.099    0.961   4
00 12    0.136    0.173    0.183  999.000  999.000    0.272    0.126    0.094    0.053    0.262    0.119    0.796   4
00 13    0.093    0.104    0.363  999.000  999.000    0.172    0.073    0.075    0.053    0.195    0.089    0.587   4
00 14    0.080    0.125    0.458  999.000  999.000    0.150    0.069    0.065    0.038    0.102    0.079    0.731   4
00 15    0.092    0.233    0.518  999.000  999.000    0.148    0.069    0.126    0.025    0.240    0.118    0.474   4
00 16    0.198    0.295    0.666  999.000  999.000    0.354    0.207    0.200    0.033    0.235    0.114    0.954   4
00 17    0.239    0.223    0.497  999.000  999.000    0.477    0.272    0.156    0.050    0.296    0.106    1.496   4
00 18    0.183    0.132    0.348  999.000  999.000    0.306    0.202    0.177    0.046    0.247    0.101    0.906   4
00 19    0.186    0.276    0.434  999.000  999.000    0.329    0.203    0.176    0.037    0.303    0.193    1.014   4
00 20    0.194    0.190    0.526  999.000  999.000    0.359    0.186    0.196    0.035    0.266    0.202    0.711   4
00 21    0.137    0.151    0.600  999.000  999.000    0.247    0.121    0.146    0.032    0.138    0.101    0.577   4
00 22    0.174    0.138    0.470  999.000  999.000    0.307    0.175    0.155    0.060    0.202    0.098    0.531   4
00 23    0.199    0.106    0.462  999.000  999.000    0.350    0.233    0.126    0.086    0.430    0.200    1.038   4
00 24    0.223    0.098    0.626  999.000  999.000    0.393    0.257    0.143    0.098    0.389    0.181    1.152   4
00 25    0.194    0.098    0.729  999.000  999.000    0.379    0.209    0.122    0.066    0.155    0.165    0.932   4
00 26    0.152    0.148    0.665  999.000  999.000    0.267    0.169    0.126    0.047    0.128    0.143    1.220   4
00 27    0.191    0.211    0.317  999.000  999.000    0.363    0.211    0.145    0.044    0.133    0.111    1.558   4
00 28    0.139    0.236    0.419  999.000  999.000    0.281    0.152    0.083    0.042    0.166    0.070    1.137   4
00 29    0.053    0.236    0.480  999.000  999.000    0.089    0.051    0.047    0.027    0.137    0.074    1.167   4
00 30    0.126    0.085    0.567  999.000  999.000    0.219    0.122    0.109    0.053    0.199    0.079    0.637   4
00 31    0.300    0.143    0.691  999.000  999.000    0.556    0.317    0.229    0.100    0.356    0.183    0.961   4
00 32    0.323    0.212    0.392  999.000  999.000    0.644    0.359    0.208    0.079    0.212    0.132    1.544   4
00 33    0.241    0.147    0.359  999.000  999.000    0.453    0.283    0.165    0.063    0.203    0.135    0.928   4
00 34    0.223    0.201    0.449  999.000  999.000    0.379    0.257    0.186    0.068    0.371    0.121    1.130   4
00 35    0.258    0.131    0.391  999.000  999.000    0.463    0.278    0.228    0.066    0.246    0.141    1.174   4
00 36    0.206    0.079    0.365  999.000  999.000    0.384    0.251    0.106    0.083    0.220    0.119    1.012   4
00 37    0.095    0.139    0.686  999.000  999.000    0.154    0.122    0.042    0.060    0.112    0.091    0.758   4
00 38    0.079    0.215    0.494  999.000  999.000    0.115    0.079    0.067    0.054    0.131    0.106    1.044   4
00 39    0.112    0.188    0.833  999.000  999.000    0.204    0.074    0.115    0.054    0.158    0.152    1.301   4
00 40    0.086    0.175    0.647  999.000  999.000    0.165    0.036    0.080    0.064    0.250    0.142    0.861   4
00 41    0.117    0.213    0.494  999.000  999.000    0.255    0.088    0.063    0.062    0.303    0.132    1.234   4
00 42    0.211    0.230    0.637  999.000  999.000    0.481    0.199    0.117    0.047    0.291    0.146    0.843   4
00 43    0.191    0.294    0.513  999.000  999.000    0.354    0.186    0.156    0.068    0.189    0.119    0.650   4
00 44    0.171    0.221    0.667  999.000  999.000    0.226    0.209    0.157    0.094    0.255    0.096    0.781   4
00 45    0.275    0.157    0.561  999.000  999.000    0.472    0.329    0.195    0.103    0.272    0.084    0.908   4
00 46    0.235    0.114    0.300  999.000  999.000    0.415    0.256    0.212    0.058    0.228    0.065    0.667   4
00 47    0.196    0.102    0.186  999.000  999.000    0.352    0.200    0.185    0.047    0.173    0.058    0.748   4
00 48    0.215    0.276    0.474  999.000  999.000    0.429    0.184    0.196    0.050    0.192    0.100    0.794   4
00 49    0.183    0.374    0.446  999.000  999.000    0.319    0.168    0.170    0.075    0.354    0.108    1.005   4
00 50    0.238    0.162    0.547  999.000  999.000    0.410    0.264    0.198    0.081    0.274    0.103    1.088   4
00 51    0.174    0.181    0.708  999.000  999.000    0.331    0.211    0.104    0.050    0.225    0.160    1.110   4
00 52    0.157    0.262    0.749  999.000  999.000    0.353    0.144    0.099    0.031    0.162    0.093    1.416   4
00 53    0.167    0.330    0.767  999.000  999.000    0.359    0.145    0.140    0.026    0.106    0.047    1.324   4
00 54    0.104    0.283    0.588  999.000  999.000    0.194    0.091    0.101    0.030    0.121    0.085    1.373   4
00 55    0.112    0.283    0.781  999.000  999.000    0.194    0.092    0.113    0.049    0.094    0.100    1.348   4
00 56    0.159    0.402    0.790  999.000  999.000    0.261    0.171    0.150    0.055    0.219    0.159    1.521   4
00 57    0.180    0.264    0.360  999.000  999.000    0.340    0.192    0.128    0.060    0.152    0.080    1.240   4
00 58    0.154    0.374    0.815  999.000  999.000    0.304    0.155    0.103    0.056    0.221    0.123    0.954   4
00 59    0.091    0.453    0.902  999.000  999.000    0.168    0.099    0.056    0.042    0.326    0.171    0.924   4
01 00    0.094    0.360    0.830  999.000  999.000    0.129    0.096    0.067    0.085    0.390    0.132    0.933   4
01 01    0.077    0.282    0.554  999.000  999.000    0.084    0.080    0.085    0.061    0.327    0.082    0.809   4
01 02    0.119    0.227    0.356  999.000  999.000    0.195    0.121    0.112    0.047    0.198    0.047    0.843   4
01 03    0.116    0.230    0.434  999.000  999.000    0.207    0.100    0.108    0.049    0.111    0.078    1.199   4
01 04    0.092    0.274    0.384  999.000  999.000    0.173    0.071    0.079    0.044    0.108    0.084    1.249   4
01 05    0.087    0.149    0.480  999.000  999.000    0.191    0.065    0.054    0.039    0.124    0.060    0.768   4
01 06    0.098    0.173    0.321  999.000  999.000    0.225    0.065    0.068    0.035    0.138    0.063    0.761   4
01 07    0.076    0.131    0.215  999.000  999.000    0.082    0.083    0.093    0.044    0.162    0.034    0.596   4
01 08    0.106    0.131    0.186  999.000  999.000    0.155    0.117    0.103    0.050    0.123    0.062    0.500   4
01 09    0.100    0.125    0.129  999.000  999.000    0.194    0.084    0.093    0.029    0.094    0.055    0.453   4
01 10    0.057    0.086    0.117  999.000  999.000    0.100    0.048    0.049    0.030    0.052    0.037    0.373   4
01 11    0.052    0.070    0.146  999.000  999.000    0.081    0.045    0.047    0.037    0.097    0.033    0.416   4
01 12    0.106    0.064    0.113  999.000  999.000    0.228    0.090    0.055    0.053    0.114    0.065    0.233   4
01 13    0.096    0.061    0.080  999.000  999.000    0.198    0.104    0.044    0.039    0.071    0.048    0.267   4
